network with nodes 84504, edges 178238, n_valid_edges 177830, avg_distance 2.06769, avg_speed_min 32.3529, avg_speed_max 57.8757, avg_abs_grade 0.690349
id,lat,lon,ele,label
224,63.5092,-143.824,480.06,I-A2@+X782450
225,63.5736,-143.913,474.54,I-A2@JanLakeRd
226,63.6397,-144.03,443.75,I-A2@ChiHomeDr
227,63.661,-144.068,423.65,I-A2@ChuRd
228,63.6732,-144.092,424.46,I-A2@+X25
229,63.6752,-144.146,421.05,I-A2@+X24B
230,63.6811,-144.169,434.64,I-A2@+X24A
231,63.6959,-144.313,432.28,I-A2@+X24
232,63.6849,-144.548,404.1,I-A2@+X23
233,63.6917,-144.572,404.1,I-A2@+X140455
234,63.6949,-144.611,415.33,I-A2@DryCrkRd
235,63.7015,-144.638,419.95,I-A2@+X22
236,63.7548,-144.694,425.02,I-A2@TanRivRd
237,63.7641,-144.7,414.75,I-A2@+X21
238,63.8213,-144.932,410.74,I-A2@GerRivRd
239,63.8922,-145.207,365.87,I-A2@SawMillRd
240,63.9372,-145.373,379.68,I-A2@KniRd
241,63.9821,-145.538,384.39,I-A2@CleRd
242,64.0383,-145.733,356.65,I-A2@AK4
243,64.0534,-145.737,347.24,I-A2@DelRecSite
244,64.07,-145.746,346.56,I-A2@JackWarRd
245,64.1166,-145.782,323.95,I-A2@TanLpRd
246,64.1356,-145.805,315.74,I-A2@+X20
247,64.1521,-145.842,304.1,I-A2@RekRd
248,64.166,-145.872,314.86,I-A2@+X19
249,64.1858,-145.889,303.84,I-A2@QuaLakeRd
250,64.214,-145.964,292.41,I-A2@+X240108
251,64.2175,-145.993,288.35,I-A2@+X17
252,64.2599,-146.094,279.22,I-A2@+X989581
253,64.2597,-146.111,278.87,I-A2@ShawCrkRd
254,64.2569,-146.167,276.31,I-A2@+X15
255,64.266,-146.2,295.99,I-A2@OldRicHwy_A
256,64.2829,-146.258,346.46,I-A2@+X204653
257,64.2826,-146.279,405.8,I-A2@NooRd
258,64.2858,-146.296,349.63,I-A2@+X14
259,64.2817,-146.329,274.3,I-A2@RubyRd
260,64.2881,-146.348,274.26,I-A2@+X355477
261,64.2915,-146.362,280.7,I-A2@+X13
262,64.2883,-146.477,260.32,I-A2@+X216996
263,64.305,-146.508,326.86,I-A2@+X260007
264,64.3111,-146.535,351.88,I-A2@TowRd
265,64.3142,-146.561,335.97,I-A2@+X848614
266,64.3097,-146.646,252.72,I-A2@BirSt
267,64.3049,-146.671,248.49,I-A2@LostLakeRd
268,64.3164,-146.694,246.72,I-A2@+X843524
269,64.3175,-146.716,240.68,I-A2@+X9
270,64.3272,-146.742,265.74,I-A2@+X8
271,64.3407,-146.842,234.3,I-A2@+X7
272,64.3384,-146.861,224.82,I-A2@+X620409
273,64.3462,-146.872,222.16,I-A2@+X182607
274,64.3593,-146.869,226.26,I-A2@OldRicHwy_B
275,64.3844,-146.893,219.35,I-A2@OldRicHwy_C
276,64.396,-146.918,221.18,I-A2@SewAir
277,64.4094,-146.918,247.57,I-A2@SnoDr
278,64.4236,-146.897,239.89,I-A2@OrcDr
279,64.4588,-146.918,204.19,I-A2@PriDr
280,64.47,-146.935,202.32,I-A2@HigTr
281,64.4698,-146.955,195.61,I-A2@WalRd
282,64.4784,-146.98,200.48,I-A2@+X5
283,64.5132,-146.97,196.44,I-A2@CanRd
284,64.5285,-146.994,190.46,I-A2@+X4A
285,64.5326,-147.015,187.07,I-A2@+X4
286,64.5433,-147.024,183.51,I-A2@JohRd
287,64.5478,-147.027,183.5,I-A2@OldRicHwy_D
288,64.5891,-147.055,176.16,I-A2@AicAve
289,64.6243,-147.068,172.14,I-A2@+X3
290,64.6985,-147.139,161.75,I-A2@EieAFB
291,64.7025,-147.142,161.01,I-A2@+X2A
292,64.7151,-147.193,158.38,I-A2@ClaSt
293,64.7228,-147.245,158.4,I-A2@+X2
294,64.734,-147.281,155.04,I-A2@LauRd
295,64.7586,-147.351,151.49,I-A2@SanClaLn
296,64.7651,-147.376,149.08,I-A2@HomDr
297,64.7769,-147.477,143.14,I-A2@RenSt
298,64.8077,-147.576,141.12,I-A2@BadRd
299,64.8138,-147.609,138.81,I-A2@+X1
300,64.8175,-147.659,137.47,I-A2@OldRicHwy_E
301,64.821,-147.705,135.29,I-A2@AK3&I-A4@AK2
302,60.4865,-151.057,0,I-A3@KenSpurHwy
303,60.4975,-151.023,0,I-A3@MacLakeRd
304,60.5092,-150.916,0,I-A3@DevRd
305,60.5364,-150.852,0,I-A3@LakRd
306,60.5371,-150.758,0,I-A3@MooRivDr
307,60.525,-150.709,0,I-A3@BriLanRd
308,60.5258,-150.566,0,I-A3@SkiLakeRd_W
309,60.5234,-150.542,0,I-A3@+X1
310,60.5349,-150.496,0,I-A3@+X2
311,60.53,-150.386,0,I-A3@KelPetRd
312,60.5229,-150.274,0,I-A3@+X3
313,60.5266,-150.257,0,I-A3@MysCrkRd
314,60.5236,-150.199,0,I-A3@+X4
315,60.4981,-150.162,0,I-A3@+X5
316,60.4848,-150.111,0,I-A3@SkiLakeRd_E
317,60.4881,-149.979,0,I-A3@+X6
318,60.4835,-149.942,0,I-A3@RusRivCamp
319,60.4861,-149.851,0,I-A3@BunTr
320,60.4953,-149.764,0,I-A3@+X8
321,60.486,-149.734,0,I-A3@QuaCrkRd
322,60.5009,-149.691,0,I-A3@+X723230
323,60.5244,-149.654,0,I-A3@+X10
324,60.5247,-149.607,0,I-A3@+X589954
325,60.5348,-149.544,0,I-A3@AK9
326,60.5509,-149.584,0,I-A3@DevCrkTr
327,60.6143,-149.532,0,I-A3@SumCrkTr
328,60.6426,-149.498,0,I-A3@TenCrkCamp
329,60.6648,-149.481,0,I-A3@OldSewHwy_A
330,60.6875,-149.48,0,I-A3@+X11A
331,60.7184,-149.462,0,I-A3@+X12
332,60.7506,-149.467,0,I-A3@+X13
333,60.78,-149.434,0,I-A3@HopeHwy
334,60.7737,-149.405,0,I-A3@+X13A
335,60.7652,-149.403,0,I-A3@+X13B
336,60.7332,-149.346,0,I-A3@+X14
337,60.7274,-149.293,0,I-A3@LineCrkRd
338,60.7289,-149.274,0,I-A3@+X16
339,60.7487,-149.253,0,I-A3@BerCrkCamp
340,60.7877,-149.212,0,I-A3@TurRecArea
341,60.7997,-149.196,0,I-A3@+X17
342,60.8179,-149.156,0,I-A3@+X17A
343,60.8468,-149.059,0,I-A3@+X18
344,60.8178,-148.994,0,I-A3@+X19
345,60.8191,-148.976,0,I-A3@PorGlaRd
346,60.8407,-148.983,0,I-A3@PorRRSta
347,60.8646,-149.028,0,I-A3@+X341573
348,60.8858,-149.049,0,I-A3@+X785637
349,60.9125,-149.094,0,I-A3@+X21
350,60.9186,-149.131,0,I-A3@+X22
351,60.9403,-149.173,0,I-A3@AlyHwy
352,60.9451,-149.193,0,I-A3@+X23
353,60.9305,-149.356,0,I-A3@BirdPtRd
354,60.9448,-149.374,0,I-A3@+X25
355,60.9554,-149.42,0,I-A3@+X26
356,60.986,-149.505,0,I-A3@OceViewRd
357,60.9852,-149.61,0,I-A3@+X27
358,60.9999,-149.644,15.423,I-A3@RaiValRd
359,61.0161,-149.731,5.0754,I-A3@MchCrkRd
360,61.0373,-149.781,12.222,I-A3@+X28A
361,61.0541,-149.799,7.8403,I-A3@PotValRd
362,61.0703,-149.825,2.4352,I-A3@+X29
363,61.0874,-149.835,36.766,I-A3@OldSewHwy_S
364,61.0942,-149.836,56.902,I-A3@DeArmRd
365,61.1087,-149.851,52.529,I-A3@HufRd
366,61.1231,-149.856,54.489,I-A3@OmaRd
367,61.1448,-149.856,41.809,I-A3@DimBlvd
368,61.1664,-149.857,45.377,I-A3@DowRd
369,61.1808,-149.86,39.097,I-A3@TudRd
370,61.1904,-149.867,34.604,I-A3@OldSewHwy_N
371,61.1943,-149.868,34.081,I-A3@NorLigBlvd
372,61.2077,-149.869,34.455,I-A3@15thAve
373,61.5626,-149.266,49.304,I-A4@TruRd
374,61.5677,-149.313,50.619,I-A4@HyerRd
375,61.5707,-149.36,89.733,I-A4@SewMerPkwy
376,61.5771,-149.41,102.01,I-A4@PalWasHwy
377,61.581,-149.441,103.74,I-A4@WasFisRd
378,61.5791,-149.512,109.16,I-A4@ChuRd
379,61.5842,-149.542,110.15,I-A4@StaRd
380,61.5798,-149.58,96.792,I-A4@MusDr
381,61.5827,-149.632,86.6,I-A4@SylRd
382,61.5697,-149.677,74.092,I-A4@PotRd
383,61.5692,-149.708,68.252,I-A4@JohRd
384,61.5755,-149.725,62.195,I-A4@BigLakeRd
385,61.595,-149.76,79.938,I-A4@CornSt
386,61.6084,-149.763,83.969,I-A4@+X1
387,61.6123,-149.783,87.761,I-A4@HorBlvd
388,61.621,-149.798,80.224,I-A4@KingArtDr
389,61.6302,-149.805,80.785,I-A4@ArmRd
390,61.6297,-149.824,76.252,I-A4@+X2
391,61.6534,-149.899,95.916,I-A4@+X3
392,61.6535,-149.923,88.263,I-A4@+X4
393,61.6689,-149.956,87.263,I-A4@+X5
394,61.6876,-149.97,88.503,I-A4@AllRd
395,61.712,-150.022,85.427,I-A4@NanLakePkwy
396,61.7321,-150.041,107.03,I-A4@LongLakeRd
397,61.7618,-150.072,61.764,I-A4@WilFisRd
398,61.7882,-150.078,60.151,I-A4@GraDr
399,61.8049,-150.099,55.166,I-A4@ShaDr
400,61.8254,-150.073,60.394,I-A4@+X6
401,61.8818,-150.089,62.318,I-A4@WilRimRd
402,61.9134,-150.069,64.904,I-A4@SusLanRd
403,61.932,-150.076,64.145,I-A4@MarDr
404,61.9463,-150.055,62.942,I-A4@+X7
405,61.9723,-150.061,72.649,I-A4@+X8
406,61.9892,-150.051,72.374,I-A4@HidHilRd
407,62.0254,-150.074,80.39,I-A4@YanDr
408,62.0398,-150.061,78.017,I-A4@LicDr
409,62.1083,-150.058,96.439,I-A4@MonCrkRd
410,62.1344,-150.04,114.47,I-A4@TalSpurRd
411,62.1493,-150.088,110.71,I-A4@+X9
