id,lat,lon,ele,label
2431,29.7708,-95.3653,10.318,I-10@768B&I-45@48A&US90@I-10(768B)
2432,29.7685,-95.363,15.217,I-10@769A/US90
2433,29.7677,-95.3569,10.908,I-10@769B/US90
2435,29.7689,-95.3411,10.53,I-10@770/US59/US90
2437,29.7742,-95.315,7.9151,I-10@771B/US90
2438,29.7742,-95.3072,16.335,I-10@772/US90
2439,29.7776,-95.2912,12.686,I-10@773A/US90
2440,29.7779,-95.2836,17.491,I-10@773B/US90
2441,29.7768,-95.2717,9.9001,I-10@774/US90
2442,29.7754,-95.2637,11.131,I-10@775/US90
2445,29.7706,-95.2134,7.0693,I-10@778A
2446,29.7711,-95.2058,12.261,I-10@778B
2447,29.7712,-95.1947,4.9078,I-10@779A
2448,29.7706,-95.1862,11.71,I-10@779B
2450,29.7711,-95.1531,4.504,I-10@781/TXLp8
2456,29.7908,-95.057,6.0669,I-10@787
2457,29.7908,-95.0492,9.5159,I-10@788
2488,30.0382,-94.1566,4.5236,I-10@848
2489,30.0501,-94.1448,13.909,I-10@849/US69/US96/US287
2490,30.0557,-94.1392,4.551,I-10@850/US69/US96/US287
2491,30.0682,-94.1342,6.9669,I-10@851/US69/US90/US96/US287
2494,30.0953,-94.1353,6.0303,I-10@853A/US69/US96/US287
2495,30.096,-94.1205,5.8149,I-10@853B
2496,30.096,-94.1112,10.646,I-10@854
2497,30.0946,-94.0998,4.0414,I-10@855/US90
2502,30.1207,-94.0319,2.9193,I-10@860A/US90
2503,30.1249,-94.0256,8.0725,I-10@860B/US90
2506,30.135,-94.0083,6.2933,I-10@861C/US90
2507,30.1359,-94.0025,13.386,I-10@861D/US90
2516,30.1128,-93.8071,4.613,I-10@874A&US90@I-10(874)&US90BusOra@US90_W
2521,30.1184,-93.731,6.8804,I-10@878&US90@I-10(878)&US90BusOra@US90_E
2523,30.1275,-93.7015,0.06701,I-10/US90@TX/LA
2524,30.1275,-93.7013,0.06701,I-10/US90LA@TX/LA
2526,30.1545,-93.6383,4.3737,I-10@4/US90
2533,30.237,-93.2794,3.7124,I-10@26/US90
2538,30.2359,-93.2043,4.7556,I-10@31A&US90@I-10(31A)&US90BusLak@US90_W
2539,30.237,-93.1906,7.5002,I-10@31B/US90
2540,30.2423,-93.1852,3.3363,I-10LA@32
2541,30.2466,-93.1805,5.1499,I-10@33&US171@I-10
2542,30.2457,-93.1615,5.2928,I-10@34&I-210@12
2545,30.2486,-92.9835,8.4044,I-10@44&US165@I-10
2560,30.2596,-92.0157,11.361,I-10@103&I-49@1A&US167@I-49(1A)
2571,30.439,-91.1875,9.1485,I-10@155A
2573,30.4343,-91.1767,16.108,I-10@155C
2574,30.4312,-91.1745,15.265,I-10@156A
2575,30.427,-91.1686,10.749,I-10@156B
2589,30.1534,-90.8058,1.4634,I-10@187/US61
2592,30.0885,-90.4416,1.3507,I-10@209&US51@I-10
2595,30.0066,-90.2917,-0.61289,I-10@220&I-310@1
2601,29.9975,-90.1554,-0.91032,I-10@228&LakePonCswy@I-10
2603,29.9956,-90.1158,-0.80312,I-10@230&I-610@1A
2606,29.9549,-90.09,0.5975,I-10@234A&I-910/US90BusNew@I-10
2608,29.9569,-90.0798,-0.38059,I-10@235B&US90@TulAve_E
2613,29.9923,-90.0492,-1.3879,I-10@238&I-610@4
2616,30.0108,-90.013,0.76344,I-10@240B/US90
2621,30.0599,-89.9394,-1.8029,I-10@246&I-510@1A
2624,30.1507,-89.8586,2.7467,I-10@254&US11@I-10
2627,30.2703,-89.755,4.0548,I-10@265&US190BusSli@I-10
2628,30.2848,-89.7496,5.1545,I-10@266&US190@I-10
2629,30.3061,-89.7407,13.437,I-10@267&I-12@85&I-59@I-10/12
2631,30.3034,-89.6416,-0.37242,I-10@LA/MS
2632,30.3032,-89.6415,-0.37242,I-10MS@LA/MS
2640,30.4326,-89.0934,7.5237,I-10@34/US49
2644,30.4531,-88.8957,7.0149,I-10@46&I-110@4&MS67@I-10/110
2654,30.5595,-88.2019,42.746,I-10AL@13
2655,30.5809,-88.1701,18.677,I-10@15/US90
2656,30.5954,-88.154,8.0754,I-10@17
2663,30.6918,-88.0259,0.73159,I-10@27/US90/US98
2664,30.6778,-87.9868,0.11792,I-10@30/US90/US98
2665,30.6556,-87.9115,6.8686,I-10AL@35
2666,30.6631,-87.8517,58.383,I-10AL@38
2669,30.5734,-87.4109,1.9325,I-10@AL/FL
2670,30.5733,-87.4109,1.9317,I-10FL@AL/FL
2671,30.5618,-87.3748,23.927,I-10@+X00A(I10)
2672,30.5346,-87.3346,24.147,I-10@5/US90AltPen
2674,30.5035,-87.2665,40.04,I-10@10&US29@I-10
2675,30.5035,-87.2302,35.057,I-10@12&I-110@6
2677,30.5022,-87.1714,30.261,I-10@+X000(I10)
2678,30.5067,-87.1628,13.17,I-10@17/US90
2682,30.5937,-87.0006,5.7946,I-10FL@28
2683,30.6189,-86.9631,44.736,I-10FL@31
2693,30.7463,-86.2358,90.903,I-10@+X008(I10)
2694,30.694,-86.144,39.944,I-10@+X009(I10)
2695,30.6921,-86.1225,49.743,I-10@85&US331@I-10
2703,30.753,-85.382,42.536,I-10@130&US231@I-10
2709,30.6364,-84.9447,39.685,I-10FL@158
2710,30.6393,-84.9214,23.468,I-10@+X015(I10)
2711,30.6302,-84.8926,56.182,I-10@GadCoRA
2713,30.6179,-84.8223,71.795,I-10FL@166
2714,30.6223,-84.7913,47.332,I-10@+X017(I10)
2715,30.602,-84.7302,84.083,I-10@+X018(I10)
2717,30.5384,-84.5953,70.897,I-10FL@181
2718,30.5292,-84.5123,31.606,I-10@+X019(I10)
2719,30.4898,-84.4256,30.269,I-10@192/US90
2721,30.4826,-84.3092,58.229,I-10@199&US27@I-10
2723,30.5019,-84.2481,64.851,I-10@203A&US319@I-10
2724,30.4983,-84.1802,44.966,I-10@+X020(I10)
2725,30.4852,-84.1584,22.806,I-10@209/US90
2730,30.4755,-83.8897,61.697,I-10@225&US19@I-10
2731,30.4724,-83.8227,24.976,I-10@+X024(I10)
2735,30.4336,-83.6267,29.982,I-10@241&US221@I-10
2741,30.3435,-83.0903,29.693,I-10@275/US90
2743,30.3306,-82.9626,39.32,I-10@283&US129@I-10
2746,30.2671,-82.7546,30.997,I-10@296&I-75@435
2747,30.2451,-82.6746,38.118,I-10@301&US41@I-10
2748,30.2416,-82.6384,43.505,I-10@303&US441@I-10
2751,30.2389,-82.3038,50.477,I-10@324/US90
2758,30.289,-81.9829,26.312,I-10@343&US301@I-10
2761,30.3151,-81.7793,16.889,I-10@355
2762,30.3152,-81.7698,7.3311,I-10@356&I-295@21
2767,30.3214,-81.6992,9.5711,I-10@361/US17
2768,30.3206,-81.6895,9.1629,I-10@362/US17
2769,30.3209,-81.6824,4.2635,I-10@I-95&I-95@351B&US17@I-10/95
2770,30.4183,-91.1159,11.594,I-12@1A
2772,30.4238,-91.0751,14.34,I-12@2&US61@I-12
2784,30.479,-90.4891,9.7286,I-12@38&I-55@29
2785,30.479,-90.4571,10.265,I-12@40&US51BusHam@I-12
2791,30.4291,-90.0847,4.9339,I-12@63&LakePonCswy/US190@I-12
2796,30.3102,-89.7707,5.7319,I-12@83&US11@I-12
3329,32.8562,-83.6406,91.814,I-16@I-75&I-75@165
3330,32.8475,-83.6267,93.728,I-16@1&US23@I-16(1)&US129@I-16
3332,32.8398,-83.6195,92.066,I-16@2&US80@I-16
3333,32.7999,-83.5695,87.751,I-16@6/US23/US129AltMac
3334,32.7858,-83.5598,109.25,I-16@+X000(I16)
3335,32.7624,-83.5558,125.8,I-16@+X001(I16)
3338,32.658,-83.4474,120.61,I-16@18
3339,32.6463,-83.4119,100.46,I-16@+X003(I16)
3340,32.6237,-83.37,151.55,I-16@24
3344,32.535,-83.1309,116.6,I-16@39
3345,32.5219,-83.0908,97.376,I-16@42
3348,32.4878,-82.9353,84.721,I-16@51&US319/US441@I-16
3349,32.4853,-82.8957,66.501,I-16@54
3351,32.4336,-82.6966,65.623,I-16@+X006(I16)
3352,32.4378,-82.6802,84.27,I-16@67
3355,32.435,-82.5007,75.192,I-16@78&US221@I-16
3357,32.4182,-82.3922,73.311,I-16@84
3358,32.408,-82.3471,52.891,I-16@+X009(I16)
3360,32.401,-82.3075,55.409,I-16@90&US1@I-16
3367,32.3078,-81.8737,59.7,I-16@116&US25/US301@I-16
3368,32.3004,-81.8348,39.523,I-16@+X014(I16)
3375,32.1812,-81.4602,24.989,I-16@143&US280@I-16
3379,32.0742,-81.246,6.6412,I-16@157&I-95@99
3383,32.0715,-81.135,4.7363,I-16@164&I-516@5&US17@I-16(164)&US80@I-516(5)
3385,32.07,-81.1071,5.7866,I-16@166/US17
3386,32.0729,-81.1001,17.158,I-16@167
3605,32.468,-99.9865,564.92,I-20@270/US84
3606,32.4627,-99.9528,547.31,I-20@272/US84
3609,32.4596,-99.8547,540.25,I-20@278/I-20BLAbi/US84
3610,32.4594,-99.8466,533.41,I-20@279/I-20BLAbi/US84
3613,32.4829,-99.7691,513.74,I-20@283&US83/US277@I-20
3615,32.4904,-99.7309,512.25,I-20@286A/US83BusAbi
3618,32.4609,-99.6769,519.43,I-20@290
3622,32.4181,-99.5252,615.95,I-20@299
3623,32.4151,-99.508,616.04,I-20@300
3624,32.4132,-99.4966,610.21,I-20@301
3625,32.4075,-99.4544,613.8,I-20@303
3626,32.403,-99.4132,539.34,I-20@306
3627,32.4003,-99.3852,528.22,I-20@307
3629,32.3912,-99.3426,486.13,I-20@310
3631,32.3768,-99.2488,455.59,I-20@316
3632,32.3718,-99.1922,489.02,I-20@319
3633,32.3762,-99.1697,493.78,I-20@320
3634,32.3795,-99.142,481.75,I-20@322
3637,32.3744,-98.9705,507.97,I-20@332/US183
3638,32.3753,-98.8862,460.77,I-20@337
3640,32.4007,-98.7894,451.23,I-20@343
3641,32.4135,-98.7592,472.6,I-20@345
3642,32.4174,-98.7377,476.66,I-20@347
3643,32.4391,-98.6965,448.64,I-20@349
3644,32.4477,-98.6774,445.04,I-20@351
3645,32.4526,-98.6622,459.86,I-20@352
3646,32.4741,-98.625,428.88,I-20@354
3647,32.4991,-98.5165,328.43,I-20@361
3648,32.5014,-98.4901,310.13,I-20@363
3651,32.5336,-98.3185,302.48,I-20@373
3652,32.5511,-98.2709,277.11,I-20@376
3654,32.6097,-98.1101,253.72,I-20@386&US281@I-20
3655,32.6564,-98.0445,240.76,I-20@391
3656,32.6807,-98.009,265.83,I-20@394
3658,32.7265,-97.8799,301.53,I-20@402
3659,32.7266,-97.874,321.29,I-20@403
3661,32.7273,-97.807,322.72,I-20@407
3662,32.7295,-97.7891,342.41,I-20@408
3663,32.7371,-97.7624,303.2,I-20@409
3664,32.7431,-97.7456,293.1,I-20@410
3665,32.7551,-97.6987,318.19,I-20@413
3666,32.7528,-97.6886,289.79,I-20@414/US180
3667,32.7472,-97.6736,275.86,I-20@415
3668,32.7344,-97.6325,279.34,I-20@418
3669,32.7288,-97.5995,316.76,I-20@420
3670,32.7212,-97.5696,281.97,I-20@421
3672,32.6926,-97.4986,261.06,I-20@426
3673,32.6943,-97.4719,216.81,I-20@428
3674,32.6844,-97.4592,212.64,I-20@429A/US377
3675,32.6838,-97.4521,207.89,I-20@429B
3676,32.6835,-97.4138,207.73,I-20@431
3677,32.6827,-97.3985,218.82,I-20@432&TX183@I-20
3678,32.6808,-97.3926,207.02,I-20@433
3679,32.675,-97.3805,207.39,I-20@434A
3680,32.6703,-97.3656,228.34,I-20@434B
3681,32.668,-97.3556,231.45,I-20@435
3682,32.6659,-97.3456,219.49,I-20@436A
3683,32.6644,-97.3315,210.97,I-20@436B
3684,32.6669,-97.3202,198.05,I-20@437&I-35W@45
3685,32.6695,-97.3062,201.28,I-20@438
3686,32.6656,-97.2932,207.78,I-20@439
3687,32.6613,-97.2809,197.81,I-20@440A
3689,32.6613,-97.2523,198.72,I-20@441
3690,32.6655,-97.2416,185.82,I-20@442A&US287BusFtW@I-20
3691,32.669,-97.2384,179.95,I-20@442B&I-820@34&US287@I-20(442)
3692,32.6682,-97.223,186.43,I-20@443/US287
3693,32.6708,-97.2077,201.7,I-20@444/US287
3694,32.6751,-97.193,190.23,I-20@445
3696,32.6744,-97.1494,185.75,I-20@448
3697,32.6754,-97.1347,203.8,I-20@449
3698,32.6783,-97.1146,211.69,I-20@450
3699,32.6776,-97.0924,183.76,I-20@451
3700,32.6772,-97.0622,177.58,I-20@453&TX360@I-20
3701,32.6763,-97.0442,170.26,I-20@454
3702,32.676,-97.0238,155.12,I-20@455&GeoBushTpk@I-20
3703,32.6753,-97.0065,146.44,I-20@456
3705,32.6706,-96.9702,145.32,I-20@458
3706,32.6708,-96.9468,214.93,I-20@460&TXSpr408@I-20
3708,32.665,-96.9069,224.99,I-20@462
3709,32.6599,-96.891,215.54,I-20@463
3710,32.654,-96.8772,210.48,I-20@464/US67
3711,32.6475,-96.8622,202.3,I-20@465
3712,32.6428,-96.8397,201.8,I-20@466
3713,32.6421,-96.8229,193.8,I-20@467&I-35E@418&US77@I-35E(418)
3714,32.6421,-96.8053,178.45,I-20@468
3715,32.6472,-96.7808,179.94,I-20@470
3716,32.6551,-96.75,151.98,I-20@472
3717,32.6617,-96.7262,148.19,I-20@473&I-45@276
3718,32.6637,-96.7222,138.5,I-20@474
3719,32.6788,-96.6756,120.45,I-20@476
3720,32.6828,-96.6568,131.69,I-20@477
